id,İl,İlçe,Mahalle,mahalleid,Ada,Parsel,tapuzeminref,tapualan,Toplam Alan(m2),Toki Hissesi(m2),İmar Durumu,Açıklama,Satış Birim Bedeli,Muhammen Bedel,Satış Bedeli,parselgeom
153,MALATYA,YEŞİLYURT,TECDE,129382,1440,18,140441346,970.7,970.7,970.7,KONUT ALANI,"Ayrık Nizam 2 Kat, TAKS:0,25 E:0,50",7000,6794900,,"POLYGON ((38.2845185944823 38.3075478102178, 38.2843410119433 38.3074920388307, 38.2840607882594 38.3073029930932, 38.2841920727874 38.307202045138, 38.284356597951 38.3072243125482, 38.2845357578511 38.3072485550142, 38.2845185944823 38.3075478102178))"
154,MALATYA,YEŞİLYURT,YAKINCA,169240,760,1,140440998,596.91,596.91,596.91,KONUT ALANI,"TAKS:0,40 E:1,50 Yençok:22,50 m
Taşınmaz daha önce 18. Madde uygulaması görmüş olup, parselasyon yenilemesi yapılacaktır",9500,5670645,,"POLYGON ((38.226473941003 38.312912699239, 38.226096394211 38.312975776735, 38.226332095992 38.312694037999, 38.226556321528 38.312817927845, 38.226473941003 38.312912699239))"
155,MALATYA,YEŞİLYURT,YAKINCA,169240,761,1,140438906,1391.62,1391.62,1391.62,KONUT ALANI,"TAKS:0,40 E:1,50 Yençok:22,50 m
Taşınmaz daha önce 18. Madde uygulaması görmüş olup, parselasyon yenilemesi yapılacaktır",9000,12524580,,"POLYGON ((38.228284426171 38.312492261873, 38.227994790094 38.31200147906, 38.228000677065 38.311949713202, 38.228005725904 38.311944211268, 38.228556876204 38.312152016018, 38.228572846116 38.312206702585, 38.228284426171 38.312492261873))"
156,MALATYA,YEŞİLYURT,YAKINCA,169240,762,1,140440824,444.13,444.13,444.13,KONUT ALANI,"TAKS:0,40 E:1,50 Yençok:22,50 m
Taşınmaz daha önce 18. Madde uygulaması görmüş olup, parselasyon yenilemesi yapılacaktır",10000,4441300,,"POLYGON ((38.228628837545 38.312606112571, 38.228488512302 38.312701484354, 38.228399167442 38.312686686764, 38.228365261003 38.312629233661, 38.228602363802 38.312394482794, 38.228658321553 38.312518129344, 38.228628837545 38.312606112571))"
157,MALATYA,YEŞİLYURT,YAKINCA,169240,763,1,140438713,317.42,317.42,317.42,KONUT ALANI,"TAKS:0,40 E:1,50 Yençok:22,50 m
Taşınmaz daha önce 18. Madde uygulaması görmüş olup, parselasyon yenilemesi yapılacaktır",10000,3174200,,"POLYGON ((38.228397675521 38.311942191396, 38.228107854311 38.311832917389, 38.22822884815 38.311701064441, 38.228291933633 38.311708535524, 38.228397675521 38.311942191396))"
158,MALATYA,YEŞİLYURT,YAKINCA,169240,764,1,140517397,1824.55,1824.55,1824.55,KONUT ALANI,"TAKS:0,40 E:1,50 Yençok:22,50 m
Taşınmaz daha önce 18. Madde uygulaması görmüş olup, parselasyon yenilemesi yapılacaktır",9000,16420950,,"POLYGON ((38.2293374266417 38.3130763717604, 38.2292819532352 38.3131218136567, 38.2292283459459 38.3131120254855, 38.2290049986279 38.3124725160096, 38.2291470411659 38.3123745266172, 38.2293799455066 38.312462337631, 38.2294244403439 38.3125264756109, 38.2293374266417 38.3130763717604))"
159,MALATYA,YEŞİLYURT,YAKINCA,169240,766,1,140518552,384.18,384.18,384.18,KONUT ALANI,"TAKS:0,40 E:1,50 Yençok:22,50 m
Taşınmaz daha önce 18. Madde uygulaması görmüş olup, parselasyon yenilemesi yapılacaktır",10000,3841800,,"POLYGON ((38.2286421555139 38.3107285068239, 38.2285728711117 38.3107376068098, 38.2289339734926 38.3103612875862, 38.2290410339317 38.3104196551256, 38.2286421555139 38.3107285068239))"
160,MALATYA,YEŞİLYURT,YAKINCA,169240,767,1,140517499,360.26,360.26,360.26,KONUT ALANI,"TAKS:0,40 E:1,50 Yençok:22,50 m
Taşınmaz daha önce 18. Madde uygulaması görmüş olup, parselasyon yenilemesi yapılacaktır",10000,3602600,,"POLYGON ((38.2288675768019 38.3108510545444, 38.2287824294747 38.3108189507063, 38.2287737952946 38.3107781403324, 38.2291494030062 38.3104873066381, 38.2291516564233 38.3105424111835, 38.2288675768019 38.3108510545444))"
161,MALATYA,YEŞİLYURT,YENİKÖY-2,169021,194,1,140442438,962.72,962.72,962.72,KONUT ALANI," İkiz Nizam 2 Kat
Taşınmaz üzerinde yapı/yapılar bulunmaktadır.",2500,2406800,2406800,"POLYGON ((38.1224739299544 38.5077382327035, 38.122625449808 38.507763778046, 38.1226820453569 38.5078182647467, 38.1226862555539 38.508162791622, 38.1223761720288 38.5081110292969, 38.1224739299544 38.5077382327035))"
162,TUNCELİ,MERKEZ,CUMHURİYET,129757,482,15,140505042,413.52,413.52,413.52,KONUT ALANI,"Ayrık Nizam, E:1,50, Y:15,50",8000,3308160,,"POLYGON ((39.531816978215 39.1057892234206, 39.5316146393042 39.1059144370296, 39.5317630326885 39.1057106258253, 39.5318539934316 39.1056735476503, 39.5322537247972 39.1056737119492, 39.5323146408211 39.1056714776188, 39.5320286889303 39.1057415100968, 39.5320204351635 39.1057435315085, 39.5318606734257 39.1057832920023, 39.531816978215 39.1057892234206))"
163,TUNCELİ,MERKEZ,CUMHURİYET,129757,2067,10,140500481,58.66,58.66,58.66,KONUT ALANI,"Ayrık Nizam, E:1,50, Y:15,50",8000,469280,,"POLYGON ((39.534914402228 39.1012646666523, 39.5349183010898 39.1013025129309, 39.5349744894075 39.101417574406, 39.5350293536847 39.1015299256805, 39.534885296054 39.1013199877769, 39.5348715554503 39.1012962264224, 39.534914402228 39.1012646666523))"
164,TUNCELİ,MERKEZ,CUMHURİYET,129757,2258,8,140500131,139.55,139.55,139.55,KONUT ALANI,"Ayrık Nizam, E:1,50, Y:15,50",8000,1116400,1116400,"POLYGON ((39.5314126319895 39.1013483517027, 39.5313798539622 39.1012976529501, 39.5314084789278 39.1012208907044, 39.531588874655 39.1011927073624, 39.5315174938781 39.1012519183116, 39.5314507060243 39.1013073192638, 39.5314758408037 39.1013665935767, 39.5314126319895 39.1013483517027))"
165,TUNCELİ,MERKEZ,CUMHURİYET,129757,2707,1,140752778,31,31,31,KONUT ALANI,"Ayrık Nizam, Yençok:6,50",4000,124000,124000,"POLYGON ((39.5367169275624 39.1078768785216, 39.5368550183304 39.1078356922147, 39.5368146480138 39.1078870425696, 39.5367262807513 39.1078883698644, 39.5367169275624 39.1078768785216))"
166,TUNCELİ,MERKEZ,ESENTEPE,129758,299,216,140737765,384.65,384.65,384.65,KONUT ALANI,"Ayrık Nizam, Taks:0,40 KAKS (E): 0.80, Yençok:6,50 m, 2 Kat",4000,1538600,,"POLYGON ((39.5563791637692 39.1105798778894, 39.556360784591 39.1105740908631, 39.5563420290794 39.1105629892646, 39.556112200899 39.1103922784623, 39.5560784852226 39.1102150165786, 39.556305676447 39.1103691061176, 39.5563791637692 39.1105798778894))"
167,TUNCELİ,MERKEZ,İSMET İNÖNÜ,129769,2690,1,140468493,813.8,813.8,813.8,KONUT ALANI,"Ayrık Nizam, Taks:0,30 KAKS (E): 1.20, Yençok:12,50 m, 4 Kat
18.Madde Uygulamasına tabidir.",3000,2441400,6500000,"POLYGON ((39.5863312204391 39.1065178670756, 39.5863052117652 39.1065043606888, 39.5862937216838 39.1064485268377, 39.5863236103512 39.1064166612697, 39.5869020437788 39.1063325065572, 39.5869136387512 39.1063390469988, 39.5868905319041 39.1064483321334, 39.5868461230384 39.1065259750193, 39.5863312204391 39.1065178670756))"
168,TUNCELİ,MERKEZ,İSMET İNÖNÜ,129769,2691,1,140490822,78.78,78.78,78.78,KONUT ALANI,"Ayrık Nizam, Taks:0,30 KAKS (E): 1.20, Yençok:12,50 m, 4 Kat
18.Madde Uygulamasına tabidir.",3200,252096,252096,"POLYGON ((39.5858018258377 39.1050590784556, 39.5858009315152 39.1050541648076, 39.5859040035274 39.1050353675891, 39.5859422789064 39.1050560019598, 39.5859576307931 39.1051472768957, 39.5858018258377 39.1050590784556))"
169,TUNCELİ,MERKEZ,İSMET İNÖNÜ,129769,2692,1,140476856,26,26,26,KONUT ALANI,"Ayrık Nizam, Taks:0,30 KAKS (E): 1.20, Yençok:12,50 m, 4 Kat
18.Madde Uygulamasına tabidir.",3300,85800,,"POLYGON ((39.5871326938398 39.1032242005926, 39.5871937240522 39.1032173482262, 39.5871704605305 39.1032962373963, 39.5871609073838 39.1032981062165, 39.5871326938398 39.1032242005926))"
170,ELAZIĞ,MERKEZ,AKSARAY,129508,510,93,140630598,12213.15,12213.15,12213.15,TİCARET+KONUT ALANI,"Ayrık Nizam, E:1,50, H: 5 kat
Taşınmaz üzerinde yapı bulunmaktadır.",,63000000,63000000,"POLYGON ((39.23904353936 38.6623793552153, 39.2379115671191 38.6622086395527, 39.2374981663509 38.6618568063341, 39.2366625017497 38.6615633894968, 39.2361467424748 38.6614798981284, 39.2361480203125 38.6614259982659, 39.2362869397853 38.6613400067347, 39.2368854828569 38.6614427924028, 39.238629340501 38.6616678506814, 39.2391040144668 38.6617065971671, 39.2391841041757 38.6617907644462, 39.23904353936 38.6623793552153))"
171,ELAZIĞ,MERKEZ,AKSARAY,129508,510,94,140630615,2905.77,2905.77,2905.77,TİCARET+KONUT ALANI,"Ayrık Nizam, E:1,50, H: 5 kat
Taşınmaz üzerinde yapı bulunmaktadır.",,17000000,,"POLYGON ((39.2359177971699 38.6614428355563, 39.235313751104 38.6613450478515, 39.2349334576439 38.6613099593899, 39.2347524475736 38.6612932071028, 39.2343915768902 38.6612597894671, 39.2344090853472 38.6609951281185, 39.2344192511761 38.6609970229397, 39.2347245039687 38.6610586754188, 39.234761808373 38.6610663565161, 39.2358069574839 38.6612562676176, 39.2359195365859 38.6613694758853, 39.2359177971699 38.6614428355563))"
172,ELAZIĞ,MERKEZ,BİZMİŞEN,129434,269,1,140633619,5603.69,5603.69,5603.69,KONUT ALANI,"Ayrık Nizam, Taks: 0,30 E:1,50, Yençok: 15,50 m",7500,42027675,46500000,"POLYGON ((39.1408545230388 38.6433239469453, 39.1408059215162 38.6433211468381, 39.1395241243855 38.6421564500253, 39.1396646988789 38.6420612935797, 39.1399241265456 38.6420649551781, 39.1411153760294 38.6431473700162, 39.1408545230388 38.6433239469453))"
173,ELAZIĞ,MERKEZ,BİZMİŞEN,129434,4053,16,140755185,2317.51,2317.51,2317.51,KENTSEL SERVİS ALANI,"E:1,50, Yençok:9,50 m",4500,10428795,,"POLYGON ((39.1345621957586 38.6246342709589, 39.134784970701 38.6245871483841, 39.1350979664861 38.6249166952212, 39.1345748706799 38.6252218758471, 39.1345266547199 38.6252163275129, 39.1344215578499 38.6251055930529, 39.1345825704809 38.6246605518418, 39.1345621957586 38.6246342709589))"
174,ELAZIĞ,MERKEZ,RIZAİYE,129413,7315,1,140632925,946.65,946.65,946.65,KONUT ALANI,"Blok Nizam, TAKS:0,33, Emsal:1,65, H: 5 kat
Taşınmaz üzerinde baraka tarzı araç garajı bulunmaktadır.",7500,7099875,8600000,"POLYGON ((39.2295726357324 38.6935046031074, 39.2297249221478 38.6929761467091, 39.2299600118358 38.6930033186331, 39.2297592178402 38.6934215959275, 39.2297221458902 38.6934565507753, 39.2295940652684 38.6935167389226, 39.2295726357324 38.6935046031074))"
175,ELAZIĞ,MERKEZ,SÜRSÜRÜ,129515,7308,1,140612362,1192.43,1192.43,1192.43,KONUT ALANI,"Ayrık Nizam, 5 Kat, Taks: 0,30, E:1,50",10000,11924300,,"POLYGON ((39.2112479408709 38.6410044195081, 39.2114241149288 38.6409824731767, 39.2114635515894 38.6410049240313, 39.2115698565428 38.6415298215581, 39.2115419017304 38.6415600259322, 39.2113989452879 38.6415778360067, 39.2113922022095 38.6415781502959, 39.211385510563 38.6415774268121, 39.211379127505 38.6415756933583, 39.211373298333 38.6415730165503, 39.2113682470591 38.6415694992564, 39.2113641678008 38.6415652766441, 39.2113612173216 38.6415605109866, 39.2113595090067 38.6415553854252, 39.2112479408709 38.6410044195081))"
176,ELAZIĞ,MERKEZ,SÜRSÜRÜ,129515,7310,1,140612603,189.43,189.43,189.43,TİCARET+KONUT ALANI,"Ayrık Nizam E:1,85-Yençok:18,50 m",14900,2822507,,"POLYGON ((39.2105824428588 38.6432864714703, 39.2105763121572 38.6432842469977, 39.2105708526447 38.6432811272372, 39.2105662741274 38.6432772320796, 39.2105627525551 38.6432727112137, 39.2105604232599 38.6432677383737, 39.2105593757549 38.6432625046635, 39.2105596502949 38.6432572112115, 39.2105612363292 38.643252061442, 39.2105714380065 38.6432290913386, 39.2105742745829 38.6432242831542, 39.2105782526943 38.6432200013308, 39.2105832194642 38.6432164104161, 39.2105889840223 38.6432136484072, 39.21059532484 38.6432118214462, 39.2106019982434 38.6432109997422, 39.2106087477778 38.6432112148729, 39.2106153140626 38.6432124585707, 39.2108144540205 38.6432668532494, 39.210824417454 38.6432711292226, 39.2108320670717 38.6432777132891, 39.2108365718232 38.6432858901598, 39.2108374423137 38.6432947715042, 39.2108345839723 38.6433033924579, 39.2108283073265 38.6433108164449, 39.2108192942673 38.6433162369265, 39.210808523969 38.6433190650241, 39.2107768628914 38.6433230092024, 39.2107648850371 38.6433236219562, 39.2107497349231 38.643323664184, 39.2107346102151 38.6433229750799, 39.2107195682563 38.6433215572567, 39.2107046660761 38.6433194160898, 39.2106990845193 38.6433183319594, 39.2105824428588 38.6432864714703))"
177,ELAZIĞ,MERKEZ,SÜRSÜRÜ,129515,7311,1,140612794,276.27,276.27,276.27,TİCARET+KONUT ALANI,"Ayrık Nizam E:1,85-Yençok:18,50 m",14900,4116423,,"POLYGON ((39.2113492124114 38.6430543699532, 39.2116514804466 38.6430167128953, 39.2116582236586 38.6430163985908, 39.2116649154416 38.6430171220585, 39.2116712986344 38.6430188554958, 39.2116771279348 38.643021532288, 39.211682179326 38.6430250495674, 39.2116862586861 38.6430292721672, 39.2116880443364 38.6430321562898, 39.2117012140248 38.6430971812138, 39.2115761073093 38.6431629167796, 39.2113492124114 38.6430543699532))"
178,ELAZIĞ,MERKEZ,SÜRSÜRÜ,129515,7312,1,140613043,1359.24,1359.24,1359.24,TİCARET+KONUT ALANI,"Ayrık Nizam E:1,85-Yençok:18,50 m",14900,20252676,,"POLYGON ((39.2113399513796 38.6416587944333, 39.2113461565583 38.6416594653232, 39.2113525396229 38.6416611987787, 39.2113583688013 38.6416638755877, 39.2113634200814 38.6416673928821, 39.2113674993455 38.6416716154942, 39.2113704498297 38.6416763811515, 39.2113721581482 38.6416815067126, 39.2114589940531 38.6421103282838, 39.211459394565 38.6421156167756, 39.2114584718621 38.6421208649661, 39.2114562614029 38.6421258711701, 39.2114528481341 38.6421304430021, 39.2114483632254 38.6421344047689, 39.2114429790293 38.6421376042221, 39.2114369024576 38.6421399184082, 39.2114303670297 38.6421412583943, 39.2112119976292 38.6421684632063, 39.2112052544945 38.6421687774849, 39.211198562795 38.6421680539906, 39.211192179689 38.6421663205268, 39.211186350476 38.6421636437099, 39.2111812991695 38.6421601264084, 39.2111772198885 38.6421559037901, 39.2111742693973 38.6421511381284, 39.2111725610815 38.6421460125648, 39.2110857268385 38.6417171907789, 39.2110853263564 38.6417119022854, 39.2110862490815 38.6417066540974, 39.2110884595536 38.6417016478999, 39.2110918728255 38.6416970760782, 39.2110963577268 38.6416931143248, 39.2111017419051 38.6416899148874, 39.2111073874589 38.6416877648556, 39.2113399513796 38.6416587944333))"
179,ERZİNCAN,ÇAYIRLI,ATATÜRK,33426,72,43,140541095,329.3,329.3,329.3,KONUT ALANI+YOL,"Ayrık Nizam 4 kat
Taşınmaz üzerinde kamelya bulunmaktadır.",2550,839715,2200000,"POLYGON ((40.0386493271283 39.8080294062298, 40.0385161604245 39.8082176114708, 40.038411527685 39.8081703041322, 40.0383936396704 39.8081204787593, 40.0385008069384 39.8079692962364, 40.0386493271283 39.8080294062298))"
180,ERZİNCAN,ÇAYIRLI,ATATÜRK,33426,188,2,140541099,629.96,629.96,629.96,TİCARET+KONUT ALANI, Bitişik Nizam 4 kat,4750,2992310,3600000,"POLYGON ((40.0400293306138 39.8084930593289, 40.0400862056053 39.8084150420308, 40.0401208697875 39.8084074528114, 40.040260425066 39.8084625125691, 40.040441948613 39.8085301404364, 40.0405720772974 39.8085832615645, 40.0405862303927 39.8086283013916, 40.0405196034449 39.8087051223358, 40.0400293306138 39.8084930593289))"
181,ERZİNCAN,REFAHİYE,BİNALİ YILDIRIM,207245,235,15,140517102,596.89,596.89,596.89,KONUT ALANI + YOL,"Ayrık Nizam TAKS:0.40, KAKS:1.20 Yençok: 3 Kat",4500,2686005,4300000,"POLYGON ((38.769315844179 39.9087709656628, 38.7693935418086 39.9085619026738, 38.7696936269954 39.9085991646558, 38.7697107377764 39.9086268716165, 38.7695888978284 39.9087895850726, 38.769315844179 39.9087709656628))"
182,BİNGÖL,MERKEZ,RECEP TAYYİP ERDOĞAN,204472,1302,14,140648878,148.82,148.82,148.82,KONUT ALANI,"Ayrık nizam 4 kat E:1,60
(İmar plan değişikliği yapılmakta olup, tevhit, ifraz,
terk ve ihdas gibi uygulamalara tabii olma durumu bulunmaktadır.)
Taşınmaz üzerinde çatıdan yapılmış depo tarzı metruk yapı ve park alanı bulunmaktadır.",25000,3720500,,"POLYGON ((40.4999863702953 38.9048229941807, 40.4999283481798 38.9047698804336, 40.5001184775298 38.9046399340128, 40.5001684209229 38.9046710834578, 40.4999863702953 38.9048229941807))"
183,BİNGÖL,MERKEZ,SANCAK,127833,432,2,140696616,703.58,703.58,703.58,KONUT ALANI,"Ayrık Nizam 2 Kat Taks:0,40 Kaks:0,80
Taşınmazın 432 Ada 1 Parsel ile tevhit şartı bulunmaktadır.",900,633222,1100000,"POLYGON ((40.3902717167578 39.0903136686478, 40.3901721455388 39.0903267958158, 40.3901644700738 39.0902006791918, 40.3902663833178 39.0903083167288, 40.3902687733219 39.0901651659848, 40.3901633250219 39.0901818646348, 40.3901427866738 39.0898443931948, 40.390147165035 39.0896834177978, 40.390230766008 39.0896336076432, 40.3902362819878 39.0896321117468, 40.3902806436208 39.0896565553918, 40.3902717167578 39.0903136686478))"
184,BİNGÖL,MERKEZ,SANCAK,127833,567,1,140695524,1520.52,1520.52,1520.52,KONUT ALANI,"Ayrık Nizam 2 Kat Taks:0,40 Kaks:0,80",1000,1520520,1520520,"POLYGON ((40.3920685639909 39.0890529824078, 40.3914661852935 39.0889520408389, 40.3916661236712 39.0888500194486, 40.3919476950311 39.0887108792937, 40.392231843279 39.0885749587168, 40.3922391601134 39.0885715724069, 40.3922479488822 39.0885768721941, 40.3920685639909 39.0890529824078))"
185,BİNGÖL,MERKEZ,SANCAK,127833,568,1,140695308,499.84,499.84,499.84,KONUT ALANI,"Ayrık Nizam 2 Kat Taks:0,40 Kaks:0,80",1200,599808,1140000,"POLYGON ((40.3928561993378 39.0905055938443, 40.3926696590241 39.0905298078003, 40.3926269915603 39.0905080474163, 40.3925683234733 39.0903265550074, 40.3928402279159 39.0903169262118, 40.3928454340339 39.0903182961498, 40.3928802781441 39.0904791934608, 40.3928561993378 39.0905055938443))"
186,BİNGÖL,MERKEZ,SİMANİ,207811,1912,1,140685000,181.68,181.68,181.68,KONUT ALANI,"Ayrık nizam 4 kat E:1,60
(İmar plan değişikliği yapılmakta olup, tevhit, ifraz,
terk ve ihdas gibi uygulamalara tabii olma durumu bulunmaktadır.)
Taşınmaz üzerinde çatıdan yapılmış depo tarzı metruk yapı ve park alanı bulunmaktadır.",7500,1362600,,"POLYGON ((40.5532270524503 38.9050689418063, 40.5532220107922 38.9050606315349, 40.5532042549733 38.90500929679, 40.5531813948546 38.9049117600409, 40.5534664893474 38.9050883929408, 40.5532270524503 38.9050689418063))"
187,BİNGÖL,MERKEZ,YENİŞEHİR,127822,712,100,140649436,489.18,489.18,489.18,TİCARET+KONUT ALANI,Bitişik Nizam 4 kat,,8000000,8000000,"POLYGON ((40.4966686200318 38.8804841921954, 40.4966712112068 38.8804930557684, 40.4965231450608 38.8805408329205, 40.4965074953442 38.8805858612951, 40.4965009994853 38.8805671985837, 40.496457805968 38.8804403114529, 40.4964819956768 38.8804063587009, 40.4966352435968 38.880370022013, 40.4967518785721 38.880342366477, 40.4968320458406 38.8803196817755, 40.4968369050398 38.8803290750844, 40.4968856861018 38.8804281865574, 40.4966686200318 38.8804841921954))"
188,BİNGÖL,MERKEZ,YENİŞEHİR,127822,712,101,140648423,177.86,177.86,177.86,KONUT ALANI,Bitişik Nizam 4 kat,,2000000,2000000,"POLYGON ((40.4972956764548 38.8802283633899, 40.4971550181629 38.8803195164749, 40.4971013586438 38.8802515094249, 40.4970946170195 38.8802431879277, 40.4971569843493 38.8802211842029, 40.4972564992478 38.8801914605404, 40.4972683061309 38.880181908813, 40.4974004731874 38.8801352788145, 40.4974472677162 38.8801160414764, 40.4974548121888 38.8801221875289, 40.4972956764548 38.8802283633899))"
189,BİNGÖL,MERKEZ,YENİŞEHİR,127822,856,221,140646040,71.79,71.79,71.79,TİCARET+KONUT ALANI,Bitişik Nizam 5 kat,15000,1076850,,"POLYGON ((40.4976432398817 38.886395480591, 40.4976006502258 38.8862840666735, 40.4976575994398 38.8862691244945, 40.4977076918977 38.8863798286978, 40.4976432398817 38.886395480591))"
190,BİNGÖL,MERKEZ,YUKARIAKPINAR,127828,301,1,140650186,298.73,298.73,298.73,KONUT ALANI,"Ayrık nizam 4 kat E:1,60",,500000,6900000,"POLYGON ((40.4939112633568 38.8782154646, 40.4938422533674 38.8782055083062, 40.4939402768537 38.8781309317214, 40.494008797198 38.8779090634892, 40.4941700425194 38.8779420161418, 40.4941747810392 38.8779520745148, 40.4939112633568 38.8782154646))"
191,ŞIRNAK,MERKEZ,BAHÇELİEVLER,128729,504,95,140517394,683.3,683.3,683.3,KONUT ALANI,"Blok Nizam, 4 Kat, E: 1.20",4600,3143180,6800000,"POLYGON ((42.4372442596948 37.5120340807678, 42.437351481363 37.5118752745762, 42.43739760145 37.5118640266632, 42.437499999786 37.5119068195813, 42.437635664504 37.5119635134823, 42.437619088958 37.5119921981793, 42.4375587626244 37.512096590443, 42.4374966352079 37.5121851384835, 42.4374121242306 37.5121325014654, 42.4373362969578 37.5120852729113, 42.4372442596948 37.5120340807678))"
192,ŞIRNAK,MERKEZ,YEŞİLYURT,128734,701,7,140521602,601.78,601.78,601.78,KONUT ALANI,"E: 0.90, BL-3 Kat
18.Madde Uygulamasına tabidir.",3300,1985874,1985874,"POLYGON ((42.453880614358 37.5140594563743, 42.453912040486 37.5139984676692, 42.4539194874741 37.514077355741, 42.4539442416428 37.514339585925, 42.4539442588835 37.5143398051065, 42.4539556164608 37.5144601192574, 42.453777287831 37.5144147795212, 42.453735453338 37.5143343200183, 42.453729235123 37.5143199942182, 42.453725392214 37.5143050380192, 42.453723924531 37.5142899018962, 42.453724718952 37.5142746759323, 42.453728001621 37.5142597205323, 42.453733546295 37.5142452158603, 42.453741352958 37.5142312520113, 42.453827782243 37.5141308958373, 42.453855951292 37.5140959421113, 42.453880614358 37.5140594563743))"
193,ŞIRNAK,MERKEZ,YEŞİLYURT,128734,705,153,140520492,321.82,321.82,321.82,TİCARET+KONUT ALANI,"B-6
18.Madde Uygulamasına tabidir.",4200,1351644,1351644,"POLYGON ((42.4546849244 37.5062726514842, 42.454706952841 37.5061875722152, 42.454712432404 37.5061664087632, 42.454949580701 37.5062029218162, 42.455010218385 37.5060767047722, 42.455070720222 37.5060915766183, 42.455072116953 37.5060993419513, 42.454940549436 37.5062500282533, 42.454908397985 37.5062868516902, 42.454855912356 37.5063031428782, 42.4548467722273 37.506301550465, 42.4546849244 37.5062726514842))"
194,ŞIRNAK,MERKEZ,YEŞİLYURT,128734,705,154,140521485,198.61,198.61,198.61,KONUT ALANI,"E: 1.20, A-3 Kat
18.Madde Uygulamasına tabidir.",3700,734857,,"POLYGON ((42.455361999351 37.5063858564062, 42.455377221963 37.5063960061242, 42.455268750344 37.5063766837913, 42.455005591004 37.5063298060742, 42.4549923936047 37.5063028218222, 42.4551003326494 37.5061838888354, 42.455145571803 37.5061880760473, 42.455162170403 37.5063516904222, 42.455361999351 37.5063858564062))"
195,AKSARAY,ORTAKÖY,ÇANKAYA,206654,1692,1,140234345,1719.38,1719.38,1719.38,KONUT ALANI + YOL,"E=0.20, Yençok =6.50 m",2440,4195287.2,,"POLYGON ((34.038860531574 38.719827773895, 34.038321338509 38.719496012426, 34.03853188565 38.719295215337, 34.039071022213 38.719627249985, 34.038860531574 38.719827773895))"
196,AKSARAY,ORTAKÖY,ÇANKAYA,206654,1693,1,140233362,1975.77,1975.77,1975.77,KONUT ALANI + PARK + YOL,"Ayrık Nizam 2 Katlı Taks=0.20, Kaks=0.40",1670,3299535.9,,"POLYGON ((34.038620233026 38.721963390306, 34.03829248366 38.721568835795, 34.03835275556 38.721487467419, 34.039124100888 38.721549145219, 34.039129544907 38.721560909794, 34.038620233026 38.721963390306))"
197,AKSARAY,ORTAKÖY,ÇANKAYA,206654,1694,1,140235903,2032.87,2032.87,2032.87,KONUT ALANI + YOL,"E=0.20, Yençok=6.50 m",2450,4980531.5,,"POLYGON ((34.040882459398 38.719845368895, 34.040208382051 38.719428567248, 34.040231757509 38.71936352345, 34.040907926149 38.719343289272, 34.040942153096 38.719787029142, 34.040882459398 38.719845368895))"
198,ANKARA,POLATLI,BEYCEĞİZ,44339,101,6,140734264,1461.54,1461.54,1461.54,KONUT ALANI,"Nizam, 2 kat, TAKS=0.15 ve KAKS= 0.30
 (18. Madde Uygulamasına Tabidir.)",1300,1900002,3600000,"POLYGON ((32.1616602024323 39.6456313138275, 32.1616059658231 39.6456944186635, 32.1613687208894 39.6458718465986, 32.1613114556951 39.6458770171882, 32.1611579229096 39.64582736306, 32.1611246191423 39.6458164047163, 32.1610914362312 39.6458050869733, 32.1610584895806 39.6457935007303, 32.1610257802792 39.6457815559296, 32.1609931907467 39.6457693417877, 32.1609770734443 39.6457630108311, 32.1612554851612 39.6455725512537, 32.1614865762453 39.6454222789532, 32.1615103278664 39.6454620793251, 32.1616602024323 39.6456313138275))"
199,ANKARA,POLATLI,HACITUĞRUL,44342,141827,1,140752737,6890.65,6890.65,6890.65,TİCARET ALANI,"E=0,50 ve Hmax=9,50 m ",900,6201585,,"POLYGON ((32.1930786958928 39.697197112454, 32.193893805899 39.6970736194428, 32.1939723509296 39.6971067680926, 32.1940130502526 39.6971861276017, 32.1939800790939 39.6972442609094, 32.1926680903765 39.6976357575742, 32.1922416390656 39.6977629363608, 32.192165675772 39.6977383606743, 32.1918975364499 39.6972169104379, 32.1919343869671 39.6971761872602, 32.1930786958928 39.697197112454))"
200,ANKARA,POLATLI,SAPANCA,137435,140104,9,140733880,1037.45,1037.45,1037.45,GELİŞME KONUT ALANI,"Ayrık Nizam, 2 Kat, E:0,50",1000,1037450,1037450,"POLYGON ((32.264000784039 39.3611581371568, 32.2640762163038 39.3611260648844, 32.2642943354621 39.3610380129847, 32.264300633498 39.3610356638818, 32.2644759462 39.3612743055559, 32.2644631587034 39.3612797272972, 32.264253693545 39.3614179105188, 32.263954544537 39.3612290904358, 32.264000784039 39.3611581371568))"
201,ANKARA,POLATLI,YENİDOĞAN,44696,118,31,140736899,326.74,326.74,326.74,AKARYAKIT TESİS ALANI," E:0.20, Yençok:6.50 m
118 Ada 30 parsel ile tevhit edildiği takdirde yapılaşma izni alınabilecektir.",3000,980220,1600000,"POLYGON ((32.2617445724999 39.6954034115408, 32.2620656205413 39.6949722937303, 32.2621690625174 39.6950471060067, 32.2617445724999 39.6954034115408))"
